udpmlgcs,vwdimcontent,,"This Table contains the details of regular customer issue content, such as title of the issue , solution type ,content type ect.",KB,,,Meenakshi,,Kasi,,Ok,,,,Entity,
udpmlgcs,vwdimcontent,ContentId,Direct Mapping to ContentKey column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwdimcontent,ContentKey,Direct Mapping to ContentId column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwdimcontent,ContentType,Direct Mapping to ContentType column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwdimcontent,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwdimcontent,CSSLastUpdatedDateTime,Timestamp in UTC at which record is updated by ETL process in UDP,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwdimcontent,SolutionType,Direct mapping to SolutionType column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwdimcontent,Title,Direct mapping to Title column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,KB,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,,This table contains Initiative details at customer level data coming from Microsoft Ads Data Analytics Platform Source,KB,,,Meenakshi,,Kasi,,Ok,,,,Entity,
udpmlgcs,vwfactcnrinitiativecustomerdetails,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,CSSLastUpdatedDateTime,Timestamp in UTC at which record is updated by ETL process in UDP,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,CustomerId,"Direct mapping to CustomerId column coming from MDAP(MSA Data Analytics Platform) source , dimcnrinitiativecustomerdetails table",Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,DateKey,Direct mapping to DateKey column coming from MDAP(MSA Data Analytics Platform) source  table dimcnrinitiativecustomerdetails,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,InitiativeEndDateTime,Direct mapping to InitiativeEndDateTime column coming from MDAP(MSA Data Analytics Platform) source  table dimcnrinitiativecustomerdetails,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,InitiativeName,Direct mapping to IntiavtiveName column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,InitiativeStartDateTime,Direct mapping to InitiativeStartDateTime column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
udpmlgcs,vwfactcnrinitiativecustomerdetails,InitiativeStatus,Direct mapping to InitiativeStatus column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,Sahithya,,,Meenakshi,,Kasi,,Ok,,,,Attribute,
